epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,786.551,1.64595,2.55429,1.38576,0.79279,0.42739,0.51164,0.29365,1.40824,2.07071,1.11762,0.000332282,0.000332282,0.0671041
2,1544.22,1.54632,2.07103,1.34538,0.78756,0.64645,0.6606,0.40988,1.30286,2.02341,1.08122,0.000665451,0.000665451,0.0341039
3,2362.16,1.55228,1.94254,1.34251,0.83083,0.70767,0.73749,0.41985,1.57324,1.78813,1.18967,0.000997963,0.000997963,0.00110312
4,3149.92,1.51516,1.80337,1.3472,0.76249,0.68008,0.72226,0.48832,1.23171,1.61204,1.02925,0.000997781,0.000997781,0.000997781
5,3897.39,1.46751,1.70466,1.30409,0.75777,0.72798,0.73878,0.49959,1.14265,1.34654,1.03514,0.000996058,0.000996058,0.000996058
6,4666.1,1.43846,1.62143,1.2738,0.82638,0.77352,0.75972,0.46753,1.39255,1.27632,1.09021,0.000993845,0.000993845,0.000993845
7,5413.59,1.44434,1.60751,1.26764,0.89779,0.72938,0.73932,0.45779,1.32465,1.34395,1.06794,0.000991145,0.000991145,0.000991145
8,6168.28,1.4442,1.60545,1.26384,0.85187,0.73637,0.7459,0.48149,1.30942,1.3528,1.07503,0.00098796,0.00098796,0.00098796
9,6923.75,1.42766,1.6307,1.2793,0.78294,0.72208,0.74388,0.46093,1.34954,1.3686,1.0902,0.000984293,0.000984293,0.000984293
10,7680.63,1.39588,1.56425,1.25573,0.8784,0.74187,0.74703,0.4795,1.34464,1.16992,1.0659,0.000980149,0.000980149,0.000980149
11,8442.22,1.38344,1.47877,1.23935,0.79138,0.73803,0.75917,0.48338,1.33985,1.2029,1.05284,0.000975531,0.000975531,0.000975531
12,9261.2,1.38327,1.47166,1.23087,0.89153,0.75675,0.75321,0.51395,1.28161,1.25716,1.05675,0.000970443,0.000970443,0.000970443
13,10039,1.41083,1.50622,1.25906,0.88978,0.76273,0.76136,0.44378,1.56136,1.16397,1.14421,0.000964892,0.000964892,0.000964892
14,10813,1.35532,1.41642,1.22706,0.82887,0.76384,0.76454,0.49876,1.39762,0.98674,1.07012,0.000958881,0.000958881,0.000958881
15,11579.5,1.34983,1.38948,1.22223,0.82009,0.76597,0.76677,0.51063,1.29559,1.06261,1.03737,0.000952418,0.000952418,0.000952418
16,12350.1,1.34268,1.40016,1.20566,0.80786,0.76304,0.75524,0.47587,1.39514,1.31833,1.06412,0.000945509,0.000945509,0.000945509
17,13159.4,1.32558,1.38053,1.19007,0.89809,0.76726,0.7695,0.48449,1.36862,1.26345,1.08259,0.00093816,0.00093816,0.00093816
18,13990.4,1.32905,1.37759,1.20399,0.92329,0.75956,0.76069,0.50296,1.28301,1.12771,1.03265,0.000930378,0.000930378,0.000930378
19,14740.4,1.31551,1.39258,1.1853,0.81208,0.78387,0.7726,0.48727,1.34273,1.0161,1.05046,0.000922172,0.000922172,0.000922172
20,15484.3,1.33739,1.36641,1.19713,0.83279,0.77805,0.76605,0.54105,1.2179,0.97706,1.02857,0.000913549,0.000913549,0.000913549
21,16232.1,1.33561,1.34209,1.21171,0.80841,0.77897,0.77596,0.53775,1.17401,0.99991,0.99818,0.000904518,0.000904518,0.000904518
22,16985.7,1.29705,1.33896,1.19557,0.77857,0.78217,0.75778,0.47396,1.42936,1.07347,1.0857,0.000895088,0.000895088,0.000895088
23,17731.6,1.31269,1.29866,1.18122,0.78766,0.77224,0.76278,0.48505,1.28154,1.07432,1.03438,0.000885268,0.000885268,0.000885268
24,18477.3,1.2826,1.28882,1.16979,0.78382,0.78567,0.76049,0.53447,1.14257,0.99842,0.9915,0.000875068,0.000875068,0.000875068
25,19226.7,1.28272,1.27168,1.16514,0.88173,0.76114,0.76621,0.49708,1.33097,1.16352,1.04394,0.000864498,0.000864498,0.000864498
26,19976.1,1.29442,1.27124,1.17146,0.86501,0.77385,0.7639,0.50236,1.36093,1.0004,1.04038,0.000853568,0.000853568,0.000853568
27,20730.8,1.28007,1.28611,1.18002,0.84002,0.77071,0.76146,0.52715,1.24264,0.97713,1.00613,0.000842289,0.000842289,0.000842289
28,21475.1,1.27838,1.25169,1.16404,0.9273,0.78868,0.78313,0.50582,1.30765,0.95244,1.02872,0.000830673,0.000830673,0.000830673
29,22224.4,1.26335,1.21226,1.16177,0.85914,0.76693,0.78204,0.50427,1.36322,0.98583,1.05154,0.00081873,0.00081873,0.00081873
