epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3418,1.83817,3.91139,1.44179,0.01062,0.43677,0.0436,0.01503,1.50377,4.19533,1.35819,0.00019,0.00019,0.00019
2,22.158,1.58503,2.28397,1.22405,0.02219,0.58488,0.39179,0.25019,1.55062,3.8459,1.35895,0.000386139,0.000386139,0.000386139
3,31.2818,1.56579,1.88347,1.17875,0.01617,0.60226,0.45828,0.36273,1.53815,3.43027,1.35742,0.000578318,0.000578318,0.000578318
4,40.5558,1.49951,1.75427,1.14778,0.50761,0.54717,0.48521,0.3488,1.48031,3.07021,1.27204,0.000766537,0.000766537,0.000766537
5,50.086,1.50423,1.66182,1.12772,0.8928,0.44885,0.52816,0.42306,1.50793,2.58477,1.28398,0.000950796,0.000950796,0.000950796
6,59.4251,1.40599,1.51319,1.10467,0.87095,0.50801,0.65063,0.45396,1.50102,2.16322,1.2802,0.0009505,0.0009505,0.0009505
7,69.0021,1.43172,1.50768,1.104,0.914,0.5262,0.63387,0.44034,1.55748,1.81715,1.25552,0.0009406,0.0009406,0.0009406
8,80.5575,1.47905,1.51107,1.12426,0.76497,0.5942,0.59178,0.46885,1.36267,1.72987,1.15248,0.0009307,0.0009307,0.0009307
9,89.9628,1.30154,1.41306,1.06647,0.92978,0.54755,0.54983,0.4305,1.35752,1.7337,1.16914,0.0009208,0.0009208,0.0009208
10,98.9338,1.32423,1.31876,1.08349,0.75597,0.58706,0.60975,0.4677,1.42201,1.66722,1.19659,0.0009109,0.0009109,0.0009109
11,107.695,1.2961,1.28746,1.05929,0.80337,0.63329,0.64184,0.49218,1.33307,1.59087,1.15072,0.000901,0.000901,0.000901
12,117.055,1.21731,2.33941,1.0218,0.81994,0.6309,0.66818,0.51936,1.31893,1.52857,1.13467,0.0008911,0.0008911,0.0008911
13,126.473,1.39056,1.35588,1.10321,0.79305,0.63329,0.64998,0.50577,1.33806,1.65324,1.17068,0.0008812,0.0008812,0.0008812
14,136.86,1.33831,1.34629,1.05379,0.81163,0.63288,0.63763,0.49137,1.35917,1.71416,1.1933,0.0008713,0.0008713,0.0008713
15,145.724,1.24017,1.1837,1.06113,0.72454,0.6465,0.63154,0.457,1.324,1.58606,1.18881,0.0008614,0.0008614,0.0008614
16,154.67,1.26359,1.1947,1.06365,0.78985,0.64757,0.65182,0.49846,1.37529,1.59557,1.18338,0.0008515,0.0008515,0.0008515
17,163.799,1.28228,1.21665,1.06951,0.52647,0.69997,0.59399,0.46925,1.32769,1.41669,1.15348,0.0008416,0.0008416,0.0008416
18,172.593,1.27564,1.14883,1.05347,0.66467,0.68766,0.67495,0.50439,1.24378,1.29878,1.11657,0.0008317,0.0008317,0.0008317
19,181.133,1.24688,1.124,1.05988,0.81504,0.63785,0.66405,0.51133,1.33096,1.34403,1.15972,0.0008218,0.0008218,0.0008218
20,189.49,1.2388,1.09874,1.04951,0.66125,0.61266,0.6825,0.53433,1.25033,1.25632,1.10621,0.0008119,0.0008119,0.0008119
21,198.148,1.25561,1.13827,1.0318,0.80149,0.65334,0.6963,0.53432,1.27137,1.36491,1.12067,0.000802,0.000802,0.000802
22,206.615,1.17612,1.06171,1.03225,0.70662,0.64488,0.70917,0.54487,1.21567,1.23264,1.10144,0.0007921,0.0007921,0.0007921
23,215.188,1.15435,1.0185,1.02477,0.54622,0.65112,0.6684,0.52698,1.25019,1.25723,1.12941,0.0007822,0.0007822,0.0007822
24,223.552,1.14916,1.02959,1.02817,0.66109,0.70529,0.67944,0.50112,1.26603,1.36687,1.11313,0.0007723,0.0007723,0.0007723
25,233.048,1.1806,1.10698,1.04327,0.6725,0.74529,0.68683,0.53244,1.20439,1.28167,1.1014,0.0007624,0.0007624,0.0007624
26,242.774,1.23375,1.08091,1.02578,0.64737,0.68954,0.6646,0.51611,1.19541,1.30133,1.10982,0.0007525,0.0007525,0.0007525
27,251.531,1.20563,1.06012,1.03712,0.62117,0.71195,0.65108,0.52049,1.21291,1.24399,1.10299,0.0007426,0.0007426,0.0007426
28,260.161,1.19247,1.01341,1.0387,0.54325,0.66157,0.64319,0.51095,1.18592,1.33151,1.09683,0.0007327,0.0007327,0.0007327
29,269.142,1.16491,0.99814,1.01923,0.5559,0.6585,0.67851,0.54586,1.19344,1.2495,1.10123,0.0007228,0.0007228,0.0007228
30,277.418,1.14967,0.98577,1.02429,0.63264,0.69241,0.68328,0.52249,1.21728,1.21202,1.10121,0.0007129,0.0007129,0.0007129
31,285.754,1.11766,0.95896,1.00866,0.69279,0.73205,0.71588,0.55019,1.14882,1.17487,1.07705,0.000703,0.000703,0.000703
32,295.485,1.13117,0.97818,1.007,0.62297,0.7213,0.68914,0.54261,1.15989,1.13488,1.08586,0.0006931,0.0006931,0.0006931
33,304.009,1.16699,0.9711,1.00489,0.64922,0.77139,0.69901,0.55658,1.16753,1.18669,1.09878,0.0006832,0.0006832,0.0006832
34,312.598,1.17904,0.94139,1.00191,0.68482,0.74854,0.72272,0.57505,1.21816,1.15992,1.10357,0.0006733,0.0006733,0.0006733
35,322.006,1.14211,0.92816,0.99457,0.61776,0.68898,0.65693,0.52422,1.20093,1.2064,1.08964,0.0006634,0.0006634,0.0006634
36,331.163,1.14476,0.99138,1.02764,0.67783,0.72556,0.69623,0.53004,1.19359,1.17281,1.1006,0.0006535,0.0006535,0.0006535
37,339.658,1.12267,0.92564,1.00308,0.6497,0.76733,0.71174,0.54687,1.24303,1.11069,1.11283,0.0006436,0.0006436,0.0006436
38,348.161,1.10375,0.91614,0.98661,0.62224,0.71853,0.68007,0.55216,1.22112,1.0822,1.10202,0.0006337,0.0006337,0.0006337
39,356.679,1.10058,0.94405,0.99525,0.644,0.72061,0.69287,0.54331,1.21074,1.15729,1.10163,0.0006238,0.0006238,0.0006238
40,365.182,1.05301,0.88771,0.99403,0.59935,0.6969,0.65813,0.54874,1.22248,1.13393,1.1144,0.0006139,0.0006139,0.0006139
