epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.06,1.97768,3.39192,1.15171,0.85638,0.14262,0.13772,0.04454,2.71457,3.25139,1.18627,0.0002875,0.0002875,0.0002875
2,226.62,1.74626,1.53314,1.02125,0.93963,0.16219,0.30097,0.09327,2.47792,1.62765,1.20622,0.000581684,0.000581684,0.000581684
3,338.942,1.67386,1.19921,1.00569,0.50021,0.21978,0.29024,0.10399,2.28139,1.64221,1.13089,0.000869928,0.000869928,0.000869928
4,451.092,1.64005,1.15796,1.00422,0.82625,0.38944,0.37248,0.13115,2.27206,1.37877,1.13526,0.00115223,0.00115223,0.00115223
5,563.815,1.56549,1.08331,0.98955,0.5325,0.45962,0.41747,0.1709,1.89482,1.38807,1.03062,0.0012005,0.0012005,0.0012005
6,678.724,1.58405,1.06495,0.98106,0.72236,0.40337,0.45567,0.22643,1.5504,1.22009,0.92714,0.00118812,0.00118812,0.00118812
7,790.438,1.47902,1.00877,0.96678,0.68313,0.46815,0.45205,0.2713,1.50194,1.04996,0.92925,0.00117575,0.00117575,0.00117575
8,902.008,1.4706,0.97055,0.96351,0.66601,0.49814,0.46686,0.2304,1.6463,1.07861,0.94727,0.00116337,0.00116337,0.00116337
9,1012.57,1.44582,0.93775,0.96608,0.66357,0.44336,0.46107,0.27692,1.43685,1.06113,0.91201,0.001151,0.001151,0.001151
10,1125.74,1.447,0.93959,0.96034,0.751,0.48562,0.49447,0.28168,1.5037,1.04747,0.92395,0.00113863,0.00113863,0.00113863
11,1237.86,1.40508,0.88991,0.94812,0.65644,0.51492,0.48,0.30342,1.3594,0.96735,0.9045,0.00112625,0.00112625,0.00112625
12,1349.56,1.42152,0.88488,0.95906,0.69652,0.49494,0.50117,0.28545,1.39273,0.96066,0.90836,0.00111388,0.00111388,0.00111388
13,1462.52,1.37829,0.85655,0.95064,0.81479,0.49871,0.51083,0.30434,1.39844,0.91164,0.90346,0.0011015,0.0011015,0.0011015
14,1575.28,1.39266,0.85803,0.9371,0.76109,0.55247,0.54116,0.34197,1.32718,0.89941,0.89057,0.00108913,0.00108913,0.00108913
15,1686.62,1.34118,0.82396,0.93213,0.82363,0.51247,0.53541,0.2936,1.60784,0.91007,0.93414,0.00107675,0.00107675,0.00107675
16,1798.22,1.34306,0.84304,0.94461,0.77718,0.49664,0.48963,0.30775,1.29436,0.91151,0.88809,0.00106437,0.00106437,0.00106437
17,1910.83,1.43977,0.84967,0.95185,0.8268,0.42715,0.47952,0.30761,1.30634,0.94822,0.89024,0.001052,0.001052,0.001052
18,2026.19,1.39226,0.84832,0.94345,0.67042,0.52264,0.50515,0.33212,1.30721,0.86677,0.89415,0.00103962,0.00103962,0.00103962
19,2141.12,1.36492,0.82529,0.93941,0.70481,0.4593,0.44658,0.28632,1.24571,0.95981,0.8765,0.00102725,0.00102725,0.00102725
20,2251.34,1.42597,0.84549,0.9529,0.70539,0.51153,0.48029,0.30531,1.34436,0.93835,0.89196,0.00101488,0.00101488,0.00101488
21,2361.24,1.34018,0.82661,0.93738,0.85836,0.5127,0.55455,0.3417,1.31568,0.85814,0.88691,0.0010025,0.0010025,0.0010025
